Gde_Nr,Bevölkerung,Arbeitsplätze
5238,4655,2246.7
5242,3385,3474.2
5249,2131,1182.8
5250,8331,8471.6
5251,2892,735.1
5254,15110,13283.5
5257,4597,1274.4
5260,2398,1656.9
5263,2627,720.6
5266,4627,5506.0
5268,3407,391.5
5269,2059,174.8
5281,6176,2550.0
5287,4132,1098.6
53,19611,7948.3
5304,55,41.3
5307,56,21.1
5309,51,10.9
5310,1177,497.6
5315,45,5.0
5317,2592,517.5
5323,569,153.1
5324,1479,337.29999999999995
533,3242,617.0999999999999
535,86,174.2
536,199,42.4
538,4962,861.5
5396,2608,488.9
5397,1183,304.7
5398,5154,1806.1
54,7568,4980.1
540,5710,1468.1999999999998
5401,9961,4900.900000000001
5402,7608,2096.2
5403,395,77.8
5404,440,74.9
5405,1375,267.4
5406,926,253.79999999999998
5407,4172,1115.5
5408,1058,495.8
5409,7503,2018.1
541,422,99.4
5410,1104,273.5
5411,1477,556.1
5412,853,535.1
5413,1625,485.4
5414,5573,2340.1
5415,1058,368.9
5421,1413,362.6
5422,3281,2389.9
5423,509,210.39999999999998
5424,302,35.1
5425,1551,463.9
5426,472,103.4
5427,892,162.1
5428,1951,519.8
5429,458,45.4
543,566,147.7
5430,435,57.8
5431,293,36.6
5432,515,105.39999999999999
5434,992,140.9
5435,688,62.099999999999994
5436,349,28.9
5437,424,27.3
544,3975,4398.2
5451,4166,2205.7
5456,1557,271.2
5458,879,111.6
546,10122,4060.6000000000004
5464,2943,425.0
5471,583,60.800000000000004
5472,372,30.1
5473,980,76.7
5474,422,56.5
5475,143,22.4
5476,296,18.200000000000003
5477,3642,956.5
5478,484,72.4
5479,481,78.4
5480,958,1009.6999999999999
5481,222,45.8
5482,1036,1319.6
5483,316,34.2
5484,901,187.9
5485,408,58.800000000000004
5486,1031,233.6
5487,460,35.8
5488,53,11.899999999999999
5489,709,1638.5
5490,304,34.7
5491,400,47.8
5492,964,200.4
5493,370,78.3
5494,1118,259.4
5495,3247,949.7
5496,1698,605.8
5497,860,430.4
5498,2586,423.9
5499,459,85.9
55,5167,1156.9
5500,242,54.9
5501,976,71.6
5503,1252,331.7
551,6216,2622.1000000000004
5511,1058,309.5
5512,1157,336.9
5513,477,584.0999999999999
5514,1245,194.8
5515,818,96.30000000000001
5516,2730,817.0999999999999
5518,5687,1876.8
552,4253,1463.5
5520,944,134.39999999999998
5521,1120,445.79999999999995
5522,697,128.5
5523,2462,167.5
5527,1075,92.3
5529,562,108.19999999999999
553,98,27.900000000000002
5530,534,132.5
5531,412,90.4
5533,844,197.0
5534,270,70.3
5535,778,234.3
5537,1066,93.39999999999999
5539,988,111.0
554,925,297.1
5540,1694,169.3
5541,1050,204.2
5551,493,96.60000000000001
5552,629,136.9
5553,1028,331.3
5554,961,121.6
5555,381,92.0
5556,427,36.4
5557,200,17.1
5559,412,76.3
556,312,25.1
5560,232,8.8
5561,3316,1214.3
5562,123,16.3
5563,162,16.6
5564,101,12.1
5565,500,84.0
5566,390,110.9
5568,4912,1197.5
557,572,47.5
5571,790,92.60000000000001
5581,3555,375.3
5582,4366,1981.6999999999998
5583,7869,7611.700000000001
5584,9326,2280.8
5585,1447,93.9
5586,137810,93985.8
5587,7888,6681.2
5588,1478,975.1
5589,12063,4945.2
5590,17972,4472.3
5591,20523,10899.9
5592,3345,1134.1
56,9189,2734.7
5601,2253,659.4000000000001
5604,2075,773.9
5606,9891,2324.3
5607,2863,1620.5
5609,358,72.9
561,3370,1789.0
5610,393,50.099999999999994
5611,3312,1164.4
5613,5290,1319.0
562,2232,622.4
5621,521,1337.1
5622,517,356.7
5623,622,70.8
5624,8268,5385.9
5625,370,43.8
5627,7585,2752.9
5628,341,43.1
5629,175,20.7
563,6894,3009.3
5631,767,71.4
5632,1625,784.9000000000001
5633,2738,1158.6
5634,2642,546.6
5635,12342,14019.6
5636,2916,2153.1
5637,1007,641.0
5638,2528,1473.1
5639,787,130.3
564,798,196.79999999999998
5640,645,206.29999999999998
5642,15889,8340.0
5643,5292,1267.3999999999999
5644,371,53.099999999999994
5645,478,384.4
5646,5687,2301.2999999999997
5648,4148,1031.2
5649,1866,2075.3999999999996
565,1283,501.1
5650,199,40.8
5651,845,880.9000000000001
5652,594,64.4
5653,843,101.80000000000001
5654,460,102.1
5655,1382,344.0
566,1124,176.39999999999998
5661,368,59.1
5663,208,24.9
5665,223,39.0
5669,309,39.3
567,3604,971.8
5671,242,52.5
5673,379,44.8
5674,143,20.2
5675,4069,1011.3999999999999
5678,6114,2031.1999999999998
5680,295,53.0
5683,166,24.4
5684,60,4.1
5688,146,15.1
5690,143,13.1
5692,557,146.8
5693,2494,453.9
57,2342,384.0
5701,223,14.399999999999999
5702,2629,283.8
5703,1317,134.1
5704,1884,343.2
5705,900,71.2
5706,1121,72.6
5707,1305,959.6999999999999
5708,938,36.5
5709,1237,133.8
571,1208,368.4
5710,491,519.7
5711,2824,183.60000000000002
5712,3151,681.5
5713,2193,226.7
5714,1201,348.8
5715,1070,211.6
5716,1521,1621.8
5717,3720,657.3
5718,1930,878.4000000000001
5719,1210,245.5
572,2531,557.5999999999999
5720,1020,117.69999999999999
5721,12997,4951.9
5722,380,105.69999999999999
5723,1989,648.0
5724,20272,12893.0
5725,4062,1557.1
5726,1158,139.9
5727,2497,249.39999999999998
5728,542,542.4
5729,1553,124.2
573,3080,1163.7
5730,1446,138.0
5731,1265,167.89999999999998
5732,980,576.4000000000001
574,493,94.9
5741,240,28.299999999999997
5742,291,45.0
5743,630,126.7
5744,1114,1002.8
5745,1057,298.6
5746,940,147.3
5747,188,36.7
5748,258,29.4
5749,4833,1783.8
575,429,55.3
5750,176,21.4
5752,351,65.6
5754,303,35.9
5755,405,57.1
5756,471,88.7
5757,6903,3891.1
5758,159,15.0
5759,196,28.2
576,3818,2372.9
5760,472,62.3
5761,547,127.3
5762,141,27.9
5763,625,138.2
5764,3750,1262.6
5765,492,119.0
5766,562,131.0
577,398,104.8
578,317,91.5
5785,427,49.8
5788,335,32.1
579,650,156.3
5790,449,62.199999999999996
5792,621,79.1
5798,439,75.1
5799,1919,426.1
58,5069,783.6
580,538,192.20000000000002
5803,466,64.6
5804,1542,248.7
5805,5423,1713.3
5806,2815,610.0
581,5673,5136.700000000001
5812,130,15.7
5813,446,66.5
5816,2381,566.8
5817,889,160.0
5819,334,297.50000000000006
582,433,74.7
5821,359,61.400000000000006
5822,9486,5323.599999999999
5827,262,78.19999999999999
5828,131,11.8
5830,423,85.69999999999999
5831,2962,929.7
584,2406,1666.5
5841,3474,1272.0
5842,544,113.9
5843,895,269.5
585,1036,163.8
5851,435,322.4
5852,487,61.300000000000004
5853,768,355.29999999999995
5854,359,108.0
5855,638,74.0
5856,695,91.9
5857,1235,220.2
5858,624,112.10000000000001
5859,2693,348.6
586,227,42.4
5860,1459,247.10000000000002
5861,6168,3680.5
5862,236,70.6
5863,352,77.9
587,4040,844.2
5871,1467,1131.7
5872,4670,4990.9
5873,873,551.9
588,354,21.4
5881,6125,1331.6999999999998
5882,2908,491.5
5883,2220,308.3
5884,3420,1321.7
5885,1488,145.7
5886,26629,10025.800000000001
5888,5126,2106.3
5889,11652,2772.9
